tokenId,top_tokens
1,"[2, 10, 34, 47, 16, 56, 1520, 5006, 1858, 17456, 844, 1859, 1813, 1323, 12344, 1842, 9238, 693, 905, 88, 1189, 654, 608, 76, 188, 576, 11741, 20694, 622, 6906]"
2,"[10, 14654, 20103, 47, 20016, 19875, 19049, 20443, 18390, 20163, 21069, 693, 19785, 20047, 19976, 14594, 9469, 16014, 18230, 13481, 10926, 18650, 19621, 13907, 20164, 19891, 18140, 21562, 17456, 17629]"
3,"[10317, 14947, 16463, 13324, 18928, 2152, 12742, 20557, 15020, 19918, 20555, 11168, 19002, 12748, 15199, 14613, 20785, 18805, 4216, 4386, 15998, 4295, 19095, 16395, 4707, 3552, 20508, 19681, 3342, 3480]"
4,"[14057, 3341, 13856, 8251, 10706, 10426, 1016, 1839, 849, 15107, 12310, 4847, 4619, 2738, 11014, 7710, 4292, 2874, 20908, 2218, 4285, 20322, 5817, 2119, 10460, 19455, 531, 6024, 10945, 2349]"
5,"[20103, 14654, 20884, 12, 20016, 16219, 11, 18449, 19875, 18140, 18650, 13907, 18390, 20163, 13253, 20808, 693, 20047, 17176, 18122, 18197, 9469, 16131, 14417, 20443, 20679, 19049, 14159, 20541, 20819]"
6,"[57, 18095, 1765, 74, 29, 37, 21, 965, 714, 1852, 19, 13, 550, 86, 92, 48, 8541, 6757, 1820, 6719, 6149, 7740, 1885, 157, 8496, 8626, 7598, 1582, 7326, 961]"
7,"[7899, 15389, 3091, 18846, 4657, 15834, 1622, 7310, 5145, 1392, 4967, 18519, 11236, 4590, 21082, 19324, 16621, 653, 15552, 20207, 14263, 13255, 3008, 21738, 3239, 5848, 12621, 20080, 16605, 15078]"
8,"[6906, 20101, 465, 698, 18, 1579, 20499, 7550, 9, 18748, 64, 14, 18095, 6, 55, 1765, 57, 13, 74, 19, 965, 1852, 29, 714, 1285, 21, 1280, 86, 92, 550]"
9,"[18095, 57, 1765, 6, 13, 74, 19, 965, 1852, 29, 714, 21, 86, 92, 550, 1285, 48, 8541, 37, 6757, 1820, 6719, 6149, 1885, 7740, 8496, 157, 8626, 1280, 7598]"
10,"[21542, 19488, 21293, 21246, 10977, 17590, 20321, 7244, 20891, 20727, 20729, 13808, 18212, 18217, 7051, 21256, 12936, 14088, 16020, 4496, 16210, 14247, 16768, 17630, 16770, 8376, 10812, 2120, 21602, 20684]"
11,"[12, 28, 16, 15, 6, 37, 8374, 597, 1007, 21272, 21368, 19183, 1759, 20255, 2732, 21356, 21599, 7507, 10161, 9313, 9743, 19177, 583, 16982, 10705, 9256, 20154, 15002, 15490, 9481]"
12,"[11, 28, 14393, 20521, 20790, 21245, 2842, 20595, 7877, 8850, 11168, 8026, 20466, 15998, 17273, 17688, 10256, 3308, 19203, 19274, 14048, 19975, 2759, 10027, 7057, 11408, 20746, 2190, 10332, 17676]"
13,"[74, 29, 965, 21, 1852, 18095, 714, 19, 92, 86, 37, 550, 48, 8541, 6757, 1820, 6719, 6149, 1885, 7740, 8626, 8496, 7598, 157, 7326, 1582, 57, 21976, 961, 21376]"
14,"[18095, 57, 1765, 19, 74, 43, 965, 1852, 32, 714, 92, 550, 86, 8541, 6757, 1820, 6719, 6149, 1885, 7740, 8496, 8626, 157, 7598, 961, 48, 7326, 1582, 21976, 21376]"
15,"[13, 1263, 90, 42, 14551, 17041, 1382, 10053, 58, 14267, 11772, 14599, 37, 8649, 10780, 7551, 8960, 10105, 7017, 11043, 3996, 1243, 12581, 10607, 13646, 18833, 11983, 12013, 17337, 7064]"
16,"[1859, 1759, 1713, 13197, 9975, 20305, 14629, 9457, 1813, 2225, 542, 12129, 12284, 16982, 15787, 13274, 16517, 15865, 17691, 7500, 16146, 9536, 8067, 14971, 14317, 1770, 11382, 15002, 19791, 19970]"
