tokenId,similar_tags
1,"[2, 3, 4, 65, 66, 1286, 15773, 11838, 20866, 20222, 20520, 20619, 21200, 11325, 11582, 11867, 19070, 20147, 18134, 22025, 15429, 15789, 18242, 18499, 18659, 18779, 19001, 19592, 19790, 20820]"
2,"[1, 3, 4, 65, 66, 1286, 15773, 11838, 20866, 20222, 20520, 20619, 21200, 11325, 11582, 11867, 19070, 20147, 18134, 22025, 15429, 15789, 18242, 18499, 18659, 18779, 19001, 19592, 19790, 20820]"
3,"[1, 2, 4, 65, 66, 1286, 15773, 11838, 20866, 20222, 20520, 20619, 21200, 11325, 11582, 11867, 19070, 20147, 18134, 22025, 15429, 15789, 18242, 18499, 18659, 18779, 19001, 19592, 19790, 20820]"
4,"[1, 2, 3, 65, 66, 1286, 15773, 11838, 20866, 20222, 20520, 20619, 21200, 11325, 11582, 11867, 19070, 20147, 18134, 22025, 15429, 15789, 18242, 18499, 18659, 18779, 19001, 19592, 19790, 20820]"
5,"[979, 1020, 1058, 1510, 1600, 2020, 2058, 2176, 2271, 2407, 3252, 3505, 3618, 3621, 5399, 5707, 5731, 6084, 6188, 6277, 6370, 6510, 6577, 7588, 8121, 8364, 8882, 8990, 9445, 9586]"
6,"[8, 9, 11, 12, 13, 14, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
7,"[16, 108, 164, 971, 991, 1077, 1154, 1329, 1414, 1747, 1763, 1909, 1959, 2123, 2420, 2464, 2494, 2605, 2677, 2916, 3425, 3427, 3592, 3635, 3776, 3989, 4037, 4295, 4317, 4331]"
8,"[6, 9, 11, 12, 13, 14, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
9,"[6, 8, 11, 12, 13, 14, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
10,"[148, 156, 179, 188, 190, 579, 651, 656, 696, 710, 726, 730, 813, 1011, 1043, 1089, 1117, 1690, 1719, 1829, 1980, 2033, 2590, 2934, 3160, 3295, 3297, 3643, 3669, 3670]"
11,"[6, 8, 9, 12, 13, 14, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
12,"[6, 8, 9, 11, 13, 14, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
13,"[6, 8, 9, 11, 12, 14, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
14,"[6, 8, 9, 11, 12, 13, 15, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
15,"[6, 8, 9, 11, 12, 13, 14, 44, 104, 134, 138, 147, 150, 163, 165, 166, 168, 172, 173, 177, 181, 189, 500, 505, 507, 508, 509, 510, 511, 512]"
16,"[7, 108, 164, 971, 991, 1077, 1154, 1329, 1414, 1747, 1763, 1909, 1959, 2123, 2420, 2464, 2494, 2605, 2677, 2916, 3425, 3427, 3592, 3635, 3776, 3989, 4037, 4295, 4317, 4331]"
17,"[1870, 1938, 2570, 2700, 3571, 3839, 4535, 8107, 14603, 15484, 15565, 15595, 15923, 16424, 18534, 19211, 19355, 19705, 19748, 19909, 21890, 22194, 1512, 2296, 8668, 8709, 9383, 12594, 13644, 14302]"
18,"[1492, 3346, 3347, 3348, 9906, 20565, 1512, 2296, 9847, 10470, 11380, 12046, 12766, 13927, 15006, 15212, 18909, 19850, 19882, 19884, 20331, 20390, 20507, 20550, 20650, 20662, 21018, 21078, 21169, 21319]"
19,"[20, 21, 22, 1335, 1675, 1691, 2435, 10152, 11605, 11606, 11621, 14051, 14694, 15120, 15775, 16642, 17061, 17069, 17124, 17169, 17170, 17176, 17352, 17457, 17533, 17574, 17590, 17748, 17749, 18307]"
20,"[19, 21, 22, 1335, 1675, 1691, 2435, 10152, 11605, 11606, 11621, 14051, 14694, 15120, 15775, 16642, 17061, 17069, 17124, 17169, 17170, 17176, 17352, 17457, 17533, 17574, 17590, 17748, 17749, 18307]"
21,"[19, 20, 22, 1335, 1675, 1691, 2435, 10152, 11605, 11606, 11621, 14051, 14694, 15120, 15775, 16642, 17061, 17069, 17124, 17169, 17170, 17176, 17352, 17457, 17533, 17574, 17590, 17748, 17749, 18307]"
22,"[19, 20, 21, 1335, 1675, 1691, 2435, 10152, 11605, 11606, 11621, 14051, 14694, 15120, 15775, 16642, 17061, 17069, 17124, 17169, 17170, 17176, 17352, 17457, 17533, 17574, 17590, 17748, 17749, 18307]"
26,"[27, 28, 881, 1002, 1192, 1346, 1387, 1515, 1567, 1674, 1927, 1962, 2015, 2070, 2100, 2132, 3001, 3113, 3210, 3312, 3379, 3405, 3433, 3483, 3484, 3497, 3558, 3867, 3946, 4059]"
27,"[26, 28, 881, 1002, 1192, 1346, 1387, 1515, 1567, 1674, 1927, 1962, 2015, 2070, 2100, 2132, 3001, 3113, 3210, 3312, 3379, 3405, 3433, 3483, 3484, 3497, 3558, 3867, 3946, 4059]"
